,Name,Phone Number,Address,Price range,Facility,1st Review,Ratings,Review Count,Food Category
0,The Tavern Kitchen & Bar,(636) 825-0600,2961 Dougherty Ferry Rd,$$$,['Indoor & Outdoor dining'],"“Wow. That's all I can really say about this place. 

First, the service. Jake and Dustin were absolutely amazing. Jake sat me at the chefs table and Dustin…” more",4.5 star rating,353,[]
1,1356 Public House,(636) 861-1618,1356 Big Bend Rd,$$,['Indoor & Outdoor dining'],"“Places with kid menus are always a win to me. And the service was quick. (It was not crowded so I did expect it to be quick.) 

The philly cheesesteak was very…” more",4 star rating,58,[]
2,Shack Breakfast & Lunch,(636) 529-1600,13645 Big Bend Rd,$$,['Current wait time: 0 mins'],"“Food is creative and delicious. Wait staff is friendly. And they now have a Wait List!!! We loved eating here, but couldn't make it work to wait 45 minutes…” more",4.5 star rating,443,[]
3,Rozanna,(636) 527-4000,403 Lafayette Ctr,Not Specified,['Indoor dining'],“As a first generation arab-american I've eaten middle eatern/ mediterranean food and believe when I say this is some of the best food I've ever eaten from the…” more,4.5 star rating,36,[]
4,Lazy River Grill,(636) 207-1689,631 Big Bend Rd,$$,['Indoor dining'],"“My husband and I just ate here first time. Walleye was Awesome and Cheddar Burger was Awesome. The side salad and coleslaw wasn't that great, left something to…” more",4 star rating,100,[]
5,Meramec Jack’s,(636) 529-0800,100 Saint Louis Ave,$,[],"“If you like seedy, smoky dives, this is your place. The BEST cheeseburgers and Willie Fries. Strong drinks. Low prices. The owner, Tracy, is the daughter of…” more",4 star rating,44,[]
6,Malinche Mexican Culinary Experience,(636) 220-8514,15939 Manchester Rd,$$,['Sit-down dining'],"“Authentic Mexican food - excellent fresh Margarita - little appetizer served to start you off.   Limited menu = quality!

Order the excellent chips/fresh fried…” more",5 star rating,144,[]
7,Sauce On The Side,(636) 517-1419,1312-1314 Big Bend Rd,Not Specified,['Sit-down dining'],"“Nee to town and had already heard about this place. The staff asked if we had been in before and she was quick to give us the run down of the favorites, which…” more",4 star rating,31,[]
8,Joey B’s Food & Drink,(636) 527-5639,14445 Manchester Rd,$$,['Indoor & Outdoor dining'],"“Arrived here and was seated promptly for an afternoon lunch. This place has an awesome, massive patio. They have ample TVs to watch any sports. The menu is…” more",3.5 star rating,270,[]
9,Duck In Market,(636) 529-8388,324 St Louis Ave,Not Specified,['Takeout'],“I have eaten here several times and have loved each visit. Smash burgers and Cajun food at their best. This place is a throwback to a different time. Authentic…” more,5 star rating,9,[]
10,The Wolf,Not Specified,Not Specified,Not Specified,['Indoor & Outdoor dining'],“Casual and laid back place with healthy choices and good music on Fridays and Saturdays.” more,4.5 star rating,295,"['Coffee & Tea', 'Salad']"
11,Circle 7 Ranch,Not Specified,Not Specified,Not Specified,"['Waitlist opens at 3:00 pm', 'Indoor & Outdoor dining']",Waitlist opens at 3:00 pm,4 star rating,413,"['Salad', 'Wraps', 'Burgers']"
12,The Port of Peri Peri - Ballwin,Not Specified,Not Specified,Not Specified,['Delivery'],“The peri peri chicken is amazing.  It is about time a place like this opened in St. Louis.  The food and portions are great.” more,4 star rating,7,"['Portuguese', 'Chicken Shop', 'Halal']"
13,Rice Thai Bistro,Not Specified,Not Specified,Not Specified,['Delivery'],"“Such great food and service. Authentic, but they won't let you make changes to your order. Pad Thai is a little dry” more",4.5 star rating,187,['Thai']
14,Ramen Tei,Not Specified,Not Specified,Not Specified,['Takeout'],"“Do you ever eat food and find yourself going ""holy **** this is good!"" after every bite? Because this is that food. I ordered the steamed pork belly buns and…” more",4 star rating,152,['Ramen']
15,Guy Fieri’s Flavortown Kitchen,Not Specified,Not Specified,Not Specified,['Delivery'],"“Despite the negative reviews, I decided to give Flavortown a try. To my surprise, my order was made and delivered in well under an hour even though the…” more",1.5 star rating,7,"['Food Delivery Services', 'Burgers', 'Chicken Wings']"
16,Big Chief Roadhouse,Not Specified,Not Specified,Not Specified,['Indoor dining'],“One of our favorite local go-to restaurants. Nice patio and great daily specials. Consistent quality and service. The toasted lasagna is amazing!!!” more,4 star rating,134,"['American (Traditional)', 'Burgers', 'Sandwiches']"
17,Cooper’s Hawk Winery & Restaurant - Town & Country,Not Specified,Not Specified,Not Specified,['Indoor dining'],“We dined here last Sunday for our anniversary dinner.  It is best to call for reservations.  It was more updated than open table online.  The hostess greeted…” more,4 star rating,448,"['American (New)', 'Wine Bars', 'Desserts']"
18,Dalie’s Smokehouse,Not Specified,Not Specified,Not Specified,['Indoor & Outdoor dining'],“Two words: hush puppies. SO delicious! Some of the absolute best I've ever had. And I've had a lot of hush puppies. I got my typical BBQ joint meal of a half…” more,4.5 star rating,397,['Barbeque']
19,Parkside Grille,Not Specified,Not Specified,Not Specified,['Indoor & Outdoor dining'],"“Way out in West County at the end of Clayton you'll find a little joint with good, no great eats and  really solid food. The PSG offers delicious varieties of…” more",4 star rating,87,['American (New)']
20,Mia Sorella,(636) 333-1015,14426 Clayton Rd,$$,['Indoor dining'],"“Hands down, best Italian in the area! Following the best Italian in STL, Trattoria Marcella! I would recommend this any day to anyone wanting authentic Italian…” more",4.5 star rating,181,[]
21,Tucker’s Place,(636) 227-8062,14282 Manchester Rd,$$,['Takeout'],“Superb service and fabulous dinner T Tucker's tonight . A very busy Saturday night here with a wait. We grabbed a bar table and Alyssa was our server . Within…” more,3.5 star rating,219,[]
22,Maggie’s Lunchbox,(636) 326-4411,867 Horan Dr,$,['Outdoor dining'],“Maggie's Lunchbox has been on my Yelp wish list for a long time.  Another Yelper and I were able to meet for a lunch date there this week.  As we entered there…” more,4.5 star rating,82,[]
23,Katie’s Pizza & Pasta Osteria,(636) 220-3238,14171 Clayton Rd,$$,['Indoor & Outdoor dining'],"“This is really a 4.5. 

My wife chose this for lunch. It's pretty busy with inside and outside tables about 3/4 full. 

For a pizza and pasta place, it's…” more",4 star rating,293,[]
24,Asian Corner,(636) 825-9424,204 Meramec Valley Plz,$,['Outdoor dining'],"“Fantastic!  Highly recommend. 

Had phad thai with chicken and husband had Thai cashew. Their spice level is a little hotter than at other places, but we loved…” more",4.5 star rating,110,[]
25,El Jarocho Mexican Store And Taqueria,(636) 226-4448,25 Stonegate Ctr,Not Specified,['Delivery'],“The fish tacos are outstanding! I also enjoyed the carnitas and the carne asada. You must get the avocado salsa. It is sooooo good. The woman at the register…” more,5 star rating,14,[]
26,St Louis Taco and Pita Grill,(636) 220-1480,15493 Manchester Rd,$,[],“I'm so glad we finally stopped by after driving by all these years! One plus of their restaurant is the drive thru option. The owners are very patient and…” more,4.5 star rating,214,[]
27,Shack Breakfast & Lunch,(636) 220-9367,14810 Clayton Rd,$$,['Current wait time: 0 mins'],"“We are from South Carolina where Shrimp & Grits are considered sacred.  The Shack's S&G were better than anything I've had in SC the past 10 years!
Great…” more",4.5 star rating,219,[]
28,El Toluco Taqueria & Grocery,(636) 686-5444,14234 Manchester,$,[],"“Updated to confirm that specific visit was not unique.  The whole family is in on this wholesome, Latin affair.  The food is still incredible, but they were…” more",4.5 star rating,140,[]
29,China Bistro,(636) 220-3144,14246 Manchester Rd,Not Specified,['Delivery'],"“ok,  BEST CHINESE FOOD IN ST. LOUIS. 
simple, that's it. 

By all means, I would love to hear if someone has a recommendation that is as good, or better.  I…” more",4.5 star rating,29,[]
